hRate,dTime,landscape,patch,gen,count,harvest
0.5,6,1,5,1,0,0
0.5,6,1,6,1,0,0
0.5,6,2,1,1,79.6576433121019,40
0.5,6,2,2,1,2,1
0.5,6,2,3,1,0,0
0.5,6,2,4,1,0,0
0.5,6,2,5,1,0,0
0.5,6,2,6,1,0,0
0.75,6,1,1,1,61,46
0.75,6,1,2,1,0,0
0.75,6,1,3,1,0,0
0.75,6,1,4,1,0,0
0.75,6,1,5,1,0,0
0.75,6,1,6,1,0,0
0.75,6,2,1,1,50,38
0.75,6,2,2,1,0,0
0.75,6,2,3,1,0,0
0.75,6,2,4,1,0,0
0.75,6,2,5,1,0,0
0.75,6,2,6,1,0,0
0,24,1,1,1,63,0
0,24,1,2,1,5,0
0,24,1,3,1,0,0
0,24,1,4,1,0,0
0,24,1,5,1,0,0
0,24,1,6,1,0,0
0,24,2,1,1,50,0
0,24,2,2,1,0,0
0,24,2,3,1,0,0
0,24,2,4,1,0,0
0,24,2,5,1,0,0
0,24,2,6,1,0,0
0.25,24,1,1,1,65,17
0.25,24,1,2,1,2,1
0.25,24,1,3,1,0,0
0.25,24,1,4,1,0,0
0.25,24,1,5,1,0,0
0.25,24,1,6,1,0,0
0.25,24,2,1,1,70,18
0.25,24,2,2,1,8,2
0.25,24,2,3,1,1,0
0.25,24,2,4,1,0,0
0.25,24,2,5,1,0,0
0.25,24,2,6,1,0,0
0.5,24,1,1,1,55,28
0.5,24,1,2,1,0,0
0.5,24,1,3,1,0,0
0.5,24,1,4,1,0,0
0.5,24,1,5,1,0,0
0.5,24,1,6,1,0,0
0.5,24,2,1,1,64,32
0.5,24,2,2,1,15,8
0.5,24,2,3,1,0,0
0.5,24,2,4,1,0,0
0.5,24,2,5,1,0,0
0.5,24,2,6,1,0,0
0.75,24,1,1,1,55,42
0.75,24,1,2,1,7,6
0.75,24,1,3,1,0,0
0.75,24,1,4,1,0,0
0.75,24,1,5,1,0,0
0.75,24,1,6,1,0,0
0.75,24,2,1,1,56,42
0.75,24,2,2,1,9,7
0.75,24,2,3,1,0,0
0.75,24,2,4,1,0,0
0.75,24,2,5,1,0,0
0.75,24,2,6,1,0,0
0,1,3,1,1,103.394568690096,0
0,1,3,2,1,1,0
0,1,3,3,1,0,0
0,1,3,4,1,0,0
0,1,3,5,1,0,0
0,1,3,6,1,0,0
0,1,4,1,1,51,0
0,1,4,2,1,0,0
0,1,4,3,1,0,0
0,1,4,4,1,0,0
0,1,4,5,1,0,0
0,1,4,6,1,0,0
0.25,1,3,1,1,82.1543408360129,21
0.25,1,3,2,1,0,0
0.25,1,3,3,1,0,0
0.25,1,3,4,1,0,0
0.25,1,3,5,1,0,0
0.25,1,3,6,1,0,0
0.25,1,4,1,1,76.9198312236287,20
0.25,1,4,2,1,0,0
0.25,1,4,3,1,0,0
0.25,1,4,4,1,0,0
0.25,1,4,5,1,0,0
0.25,1,4,6,1,0,0
0.5,1,3,1,1,74,37
0.5,1,3,2,1,1,1
0.5,1,3,3,1,0,0
0.5,1,3,4,1,0,0
0.5,1,3,5,1,0,0
