time_point,date_time,temp_F,RH
437,6/4/18 23:33,88.869,49.328
438,6/4/18 23:48,88.869,49.166
439,6/5/18 0:03,88.869,48.351
440,6/5/18 0:18,88.822,49
441,6/5/18 0:33,88.822,49.65
442,6/5/18 0:48,88.822,49.813
443,6/5/18 1:03,88.822,49.293
444,6/5/18 1:18,88.822,49.813
445,6/5/18 1:33,88.822,50.3
446,6/5/18 1:48,88.777,50.004
447,6/5/18 2:03,88.777,49.939
448,6/5/18 2:18,88.777,50.88
449,6/5/18 2:33,88.731,50.973
450,6/5/18 2:48,88.731,49.969
451,6/5/18 3:03,88.731,50.293
452,6/5/18 3:18,88.731,50.65
453,6/5/18 3:33,88.731,51.297
454,6/5/18 3:48,88.686,50.387
455,6/5/18 4:03,88.686,50.776
456,6/5/18 4:18,88.686,50.938
457,6/5/18 4:33,88.639,50.416
458,6/5/18 4:48,88.686,50.646
459,6/5/18 5:03,88.639,50.351
460,6/5/18 5:18,88.639,50.902
461,6/5/18 5:33,88.639,50.416
462,6/5/18 5:48,88.594,50.51
463,6/5/18 6:03,88.594,50.672
464,6/5/18 6:18,88.594,50.445
465,6/5/18 6:33,88.594,51.06
466,6/5/18 6:48,88.547,50.895
467,6/5/18 7:03,88.547,50.895
468,6/5/18 7:18,88.547,51.154
469,6/5/18 7:33,88.547,51.542
470,6/5/18 7:48,88.594,51.19
471,6/5/18 8:03,88.594,51.545
472,6/5/18 8:18,88.594,52.029
473,6/5/18 8:33,88.594,51.61
474,6/5/18 8:48,88.639,51.225
475,6/5/18 9:03,88.639,51.096
476,6/5/18 9:18,88.639,52.033
477,6/5/18 9:33,88.686,51.81
478,6/5/18 9:48,88.686,52.488
479,6/5/18 10:03,88.731,52.362
480,6/5/18 10:18,88.731,52.298
481,6/5/18 10:33,88.731,52.201
482,6/5/18 10:48,88.731,52.201
483,6/5/18 11:03,88.777,51.914
484,6/5/18 11:18,88.822,52.143
485,6/5/18 11:33,88.594,48.397
486,6/5/18 11:48,88.914,49.039
487,6/5/18 12:03,89.006,50.443
488,6/5/18 12:18,89.053,49.244
489,6/5/18 12:33,89.053,47.71
490,6/5/18 12:48,88.961,42.929
491,6/5/18 13:03,89.006,45.542
492,6/5/18 13:18,89.1,48.04
493,6/5/18 13:33,89.1,45.12
494,6/5/18 13:48,89.1,47.485
495,6/5/18 14:03,89.145,45.518
496,6/5/18 14:18,88.547,38.568
497,6/5/18 14:33,89.006,36.911
498,6/5/18 14:48,88.961,36.335
499,6/5/18 15:03,88.914,37.311
500,6/5/18 15:18,88.961,42.564
501,6/5/18 15:33,89.006,44.916
502,6/5/18 15:48,89.053,44.688
503,6/5/18 16:03,89.053,47.612
504,6/5/18 16:18,89.006,48.001
505,6/5/18 16:33,88.961,48.455
506,6/5/18 16:48,89.006,50.021
